time,open,high,low,close,,,,,Equity,Trade PnL %,PineConnector,Bullish Entry,Bearish Entry
1702915200,237.1,239,236.3,238.2,NaN,NaN,NaN,NaN,1448420.8422136726,NaN,0,0,0
1702929600,238.5,241.7,237.6,241.7,231.495,245.20499999999998,NaN,NaN,1455202.8582136726,NaN,110000231.495,1,0
1702944000,241.7,247.1,241.4,245.1,238.5,NaN,NaN,NaN,1462408.7502136726,NaN,0,0,0
1702958400,245.3,247.4,244.7,244.9,238.5,NaN,NaN,NaN,1461984.8742136727,NaN,0,0,0
1702972800,244.9,253.4,244.6,251.9,238.5,NaN,NaN,NaN,1476820.5342136726,NaN,0,0,0
1702987200,252,253.7,249.6,251.4,238.5,NaN,NaN,NaN,1475760.8442136727,NaN,0,0,0
1703001600,251.4,254.3,250.4,253.5,238.5,NaN,NaN,NaN,1480211.5422136725,NaN,0,0,0
1703016000,253.4,254.9,251.4,252.9,238.5,NaN,NaN,NaN,1478939.9142136725,NaN,0,0,0
1703030400,252.8,254.5,250.2,252.2,238.5,NaN,NaN,NaN,1477456.3482136726,NaN,0,0,0
1703044800,252.2,256.3,251.8,256.3,238.5,NaN,NaN,NaN,1486145.8062136725,NaN,0,0,0
1703059200,256.4,257.9,255.3,255.6,238.5,NaN,NaN,NaN,1484662.2402136726,NaN,0,0,0
1703073600,255.6,259.7,255.5,258.4,250.2,NaN,NaN,NaN,1490596.5042136726,NaN,0,0,0
1703088000,258.4,262,257.2,259.8,250.2,NaN,NaN,NaN,1493563.6362136726,NaN,0,0,0
1703102400,260,260.5,255.8,260.4,250.2,NaN,NaN,NaN,1494835.2642136726,NaN,0,0,0
1703116800,260.3,260.8,256.4,258.6,250.2,NaN,NaN,NaN,1491020.3802136725,NaN,0,0,0
1703131200,258.5,261.9,256.6,260.9,250.2,NaN,NaN,NaN,1495894.9542136726,NaN,0,0,0
1703145600,261,272,261,271.8,250.2,NaN,NaN,NaN,1518996.1962136726,NaN,0,0,0
1703160000,271.9,275.2,270.1,271.8,250.2,NaN,NaN,NaN,1518996.1962136726,NaN,0,0,0
1703174400,271.8,273.3,268.6,270.2,250.2,NaN,NaN,NaN,1515605.1882136725,NaN,0,0,0
1703188800,270.3,272.2,269.3,272.2,250.2,NaN,NaN,NaN,1519843.9482136725,NaN,0,0,0
1703203200,272.2,273.3,270.1,271.7,250.2,NaN,NaN,NaN,1518430.2082136725,NaN,110000250.2,1,0
1703217600,271.8,276.6,265.1,265.2,250.2,NaN,NaN,NaN,1500051.5882136726,NaN,0,0,0
1703232000,265.6,271.8,265.6,270.4,250.2,NaN,NaN,NaN,1514754.4842136726,NaN,0,0,0
1703246400,270.5,272.7,266.7,271.8,250.2,NaN,NaN,NaN,1518712.9562136726,NaN,0,0,0
1703260800,271.8,272.8,268.2,270.2,265.1,NaN,NaN,NaN,1514188.9882136725,NaN,0,0,0
1703275200,270.2,273.3,270.2,271.3,265.1,NaN,NaN,NaN,1517299.2162136727,NaN,0,0,0
1703289600,271.4,272.3,266.3,266.6,265.1,NaN,NaN,NaN,1504010.0602136727,NaN,0,0,0
1703304000,266.5,268.6,265.9,266.5,265.1,NaN,NaN,NaN,1503727.3122136726,NaN,0,0,0
1703318400,266.6,268.7,266.5,268.4,265.1,NaN,NaN,NaN,1509099.5242136726,NaN,0,0,0
1703332800,268.3,270.4,268,270,265.1,NaN,NaN,NaN,1513623.4922136725,NaN,0,0,0
1703347200,270.1,271.7,269.4,270.4,265.9,NaN,NaN,NaN,1514754.4842136726,NaN,0,0,0
1703361600,270.5,272.2,270.3,271.3,265.9,NaN,NaN,NaN,1517299.2162136727,NaN,0,0,0
1703376000,271.2,272.8,269.9,270.2,265.9,NaN,NaN,NaN,1514188.9882136725,NaN,0,0,0
1703390400,270.2,271.2,266.7,269.4,265.9,NaN,NaN,NaN,1511927.0042136726,NaN,0,0,0
1703404800,269.4,269.4,266.3,268.4,265.9,NaN,NaN,NaN,1509099.5242136726,NaN,0,0,0
1703419200,268.4,271.6,267.6,269.8,265.9,NaN,NaN,NaN,1513057.9962136727,NaN,0,0,0
1703433600,269.6,270,268.3,268.9,265.9,NaN,NaN,NaN,1510513.2642136726,NaN,0,0,0
1703448000,268.8,268.9,262.4,264.8,NaN,NaN,NaN,NaN,1501661.2634277868,3.6757563590941515,0.5,0,0
1703462400,264.7,265.4,261.8,265,NaN,NaN,NaN,NaN,1501661.2634277868,NaN,0,0,0
1703476800,265,267.3,264.7,265.1,NaN,NaN,NaN,NaN,1501661.2634277868,NaN,0,0,0
1703491200,265.2,266.4,262.9,264.9,NaN,NaN,NaN,NaN,1501661.2634277868,NaN,0,0,0
1703505600,264.9,268.2,263.9,267.2,NaN,NaN,NaN,NaN,1501661.2634277868,NaN,0,0,0
1703520000,267.3,267.4,264.6,266.1,NaN,NaN,NaN,NaN,1501661.2634277868,NaN,0,0,0
1703534400,266,267.8,264.2,267,NaN,NaN,NaN,NaN,1501661.2634277868,NaN,0,0,0
