time,open,high,low,close,,,,,Equity,Trade PnL %,PineConnector,Bullish Entry,Bearish Entry
1698134400,27.3,27.86,27.27,27.84,25.38,NaN,NaN,NaN,288615.66083464597,NaN,0,0,0
1698148800,27.83,28.18,26.55,27.08,25.38,NaN,NaN,NaN,282223.224834646,NaN,0,0,0
1698163200,27.1,27.5,26.75,27.4,25.38,NaN,NaN,NaN,284914.776834646,NaN,0,0,0
1698177600,27.39,27.72,27.07,27.51,25.38,NaN,NaN,NaN,285839.997834646,NaN,0,0,0
1698192000,27.5,27.93,27.42,27.58,26.55,NaN,NaN,NaN,286428.77483464597,NaN,0,0,0
1698206400,27.59,27.75,26.93,27.06,26.55,NaN,NaN,NaN,282055.002834646,NaN,0,0,0
1698220800,27.04,27.48,26.97,27.31,26.55,NaN,NaN,NaN,284157.777834646,NaN,0,0,0
1698235200,27.32,27.89,27.3,27.77,26.55,NaN,NaN,NaN,288026.88383464597,NaN,0,0,0
1698249600,27.72,27.95,27.09,27.47,26.93,NaN,NaN,NaN,285503.553834646,NaN,0,0,0
1698264000,27.46,27.51,27.08,27.42,26.93,NaN,NaN,NaN,285082.998834646,NaN,0,0,0
1698278400,27.42,27.89,27.29,27.88,26.93,NaN,NaN,NaN,288952.104834646,NaN,0,0,0
1698292800,27.88,28.55,27.48,28.43,26.93,NaN,NaN,NaN,293578.20983464597,NaN,0,0,0
1698307200,28.38,29,27.78,28.04,27.08,NaN,NaN,NaN,290297.880834646,NaN,0,0,0
1698321600,28.05,28.35,26.93,27.38,NaN,NaN,NaN,NaN,282169.64249964757,5.316906584992352,0.5,0,0
1698336000,27.38,27.8,27.19,27.74,NaN,NaN,NaN,NaN,282169.64249964757,NaN,0,0,0
1698350400,27.72,28.15,27.71,27.78,NaN,NaN,NaN,NaN,282169.64249964757,NaN,0,0,0
1698364800,27.76,27.9,27.22,27.51,26.864,28.676000000000002,NaN,NaN,281362.6574996476,NaN,110000026.864,1,0
1698379200,27.5,27.66,27.27,27.31,26.864,28.676000000000002,NaN,NaN,280717.06949964754,NaN,0,0,0
1698393600,27.3,27.67,27.22,27.29,26.864,28.676000000000002,NaN,NaN,280652.51069964754,NaN,0,0,0
1698408000,27.3,27.57,27.05,27.3,26.864,28.676000000000002,NaN,NaN,280684.7900996476,NaN,0,0,0
1698422400,27.28,27.33,26.4,26.93,NaN,NaN,NaN,NaN,279220.96973552625,-1.045,0.5,0,0
1698436800,26.94,27.5,26.86,27.31,NaN,NaN,NaN,NaN,279220.96973552625,NaN,0,0,0
1698451200,27.31,27.63,27.24,27.43,NaN,NaN,NaN,NaN,279220.96973552625,NaN,0,0,0
1698465600,27.46,27.96,27.39,27.79,26.3415,28.5485,NaN,NaN,280065.37043552625,NaN,110000026.3415,1,0
1698480000,27.78,28.04,27.53,27.81,26.3415,28.5485,NaN,NaN,280116.5462355262,NaN,0,0,0
1698494400,27.79,28.08,27.55,28.08,26.3415,28.5485,NaN,NaN,280807.41953552625,NaN,0,0,0
1698508800,28.06,28.07,27.8,27.84,26.3415,28.5485,NaN,NaN,280193.3099355262,NaN,0,0,0
1698523200,27.84,28.04,27.77,27.86,26.3415,28.5485,NaN,NaN,280244.48573552625,NaN,0,0,0
1698537600,27.86,27.99,27.5,27.63,26.3415,28.5485,NaN,NaN,279655.96403552627,NaN,0,0,0
1698552000,27.65,27.85,27.65,27.78,26.3415,28.5485,NaN,NaN,280039.78253552626,NaN,0,0,0
1698566400,27.76,27.94,27.69,27.8,26.3415,28.5485,NaN,NaN,280090.95833552623,NaN,0,0,0
1698580800,27.82,28.19,27.74,28,26.3415,28.5485,NaN,NaN,280602.71633552626,NaN,0,0,0
1698595200,28,28.12,27.75,27.97,26.3415,28.5485,NaN,NaN,280525.95263552625,NaN,0,0,0
1698609600,27.97,28.38,27.88,28.22,26.3415,28.5485,NaN,NaN,281165.65013552626,NaN,0,0,0
1698624000,28.22,28.55,28.11,28.2,27.46,NaN,NaN,NaN,281114.47433552623,NaN,0,0,0
1698638400,28.2,28.43,27.96,28.05,27.5,NaN,NaN,NaN,280730.65583552624,NaN,0,0,0
1698652800,28.02,28.64,28,28.58,27.5,NaN,NaN,NaN,282086.81453552627,NaN,0,0,0
1698667200,28.58,28.72,28.25,28.42,27.5,NaN,NaN,NaN,281677.40813552623,NaN,0,0,0
1698681600,28.42,28.49,27.82,28.25,27.5,NaN,NaN,NaN,281242.41383552627,NaN,0,0,0
1698696000,28.27,28.62,28.15,28.49,27.5,NaN,NaN,NaN,281856.52343552624,NaN,0,0,0
1698710400,28.49,28.95,28.29,28.45,27.5,NaN,NaN,NaN,281754.17183552624,NaN,0,0,0
1698724800,28.44,28.57,27.86,28.01,27.82,NaN,NaN,NaN,280628.30423552624,NaN,0,0,0
1698739200,28.01,28.88,27.64,28.7,NaN,NaN,NaN,NaN,280086.2926209927,0.30990612427357983,0.5,0,0
1698753600,28.69,28.79,27.45,27.92,NaN,NaN,NaN,NaN,280086.2926209927,NaN,0,0,0
1698768000,27.85,28.25,27.77,28.14,NaN,NaN,NaN,NaN,280086.2926209927,NaN,0,0,0
1698782400,28.14,28.37,27.95,28.32,NaN,NaN,NaN,NaN,280086.2926209927,NaN,0,0,0
1698796800,28.32,28.47,27.75,27.87,27.387,29.253,NaN,NaN,278701.6246209927,NaN,110000027.387,1,0
1698811200,27.85,27.94,27.46,27.7,27.387,29.253,NaN,NaN,278178.5278209927,NaN,0,0,0
1698825600,27.66,27.78,27.39,27.69,27.387,29.253,NaN,NaN,278147.7574209927,NaN,0,0,0
1698840000,27.67,28.1,27.39,27.58,27.387,29.253,NaN,NaN,277809.2830209927,NaN,0,0,0
1698854400,27.56,28.67,27.55,28.4,27.387,29.253,NaN,NaN,280332.4558209927,NaN,0,0,0
1698868800,28.4,28.99,28.4,28.66,27.387,29.253,NaN,NaN,281132.4862209927,NaN,0,0,0
1698883200,28.66,29.28,28.47,29.07,28.32,NaN,NaN,NaN,282394.0726209927,NaN,0,0,0
1698897600,29.08,29.1,28.23,28.48,NaN,NaN,NaN,NaN,280030.2753624685,-0.02,0.5,0,0
1698912000,28.48,28.73,28.24,28.61,NaN,NaN,NaN,NaN,280030.2753624685,NaN,0,0,0
1698926400,28.61,28.66,27.3,27.53,NaN,NaN,NaN,NaN,280030.2753624685,NaN,0,0,0
1698940800,27.51,27.66,27.1,27.61,NaN,NaN,NaN,NaN,280030.2753624685,NaN,0,0,0
1698955200,27.6,27.71,27.31,27.5,NaN,NaN,NaN,NaN,280030.2753624685,NaN,0,0,0
1698969600,27.5,27.52,26.58,27.09,NaN,NaN,NaN,NaN,280030.2753624685,NaN,0,0,0
1698984000,27.07,27.28,26.96,27.06,NaN,NaN,NaN,NaN,280030.2753624685,NaN,0,0,0
1698998400,27.06,27.28,26.74,26.95,NaN,NaN,NaN,NaN,280030.2753624685,NaN,0,0,0
1699012800,26.91,27.34,26.8,27.33,26.499,27.361,NaN,NaN,282963.4377624685,NaN,110000026.499,1,0
1699027200,27.32,27.43,27.04,27.35,26.91,NaN,NaN,NaN,283103.1121624685,NaN,0,0,0
1699041600,27.29,27.69,27.26,27.67,26.91,NaN,NaN,NaN,285337.9025624685,NaN,0,0,0
1699056000,27.65,27.87,27.55,27.81,26.91,NaN,NaN,NaN,286315.6233624685,NaN,0,0,0
1699070400,27.81,28.07,27.59,27.83,26.91,NaN,NaN,NaN,286455.29776246846,NaN,0,0,0
1699084800,27.82,28.06,27.71,27.85,26.91,NaN,NaN,NaN,286594.97216246853,NaN,0,0,0
1699099200,27.85,28.1,27.51,27.67,26.91,NaN,NaN,NaN,285337.9025624685,NaN,0,0,0
1699113600,27.71,27.78,27.56,27.64,26.91,NaN,NaN,NaN,285128.3909624685,NaN,0,0,0
1699128000,27.65,28.3,27.61,28.16,26.91,NaN,NaN,NaN,288759.9253624685,NaN,0,0,0
1699142400,28.18,28.56,27.97,28.56,27.51,NaN,NaN,NaN,291553.4133624685,NaN,0,0,0
1699156800,28.56,28.58,28.19,28.51,27.51,NaN,NaN,NaN,291204.2273624685,NaN,0,0,0
1699171200,28.54,28.7,28.2,28.65,27.51,NaN,NaN,NaN,292181.9481624685,NaN,0,0,0
1699185600,28.66,28.91,28.07,28.46,27.51,NaN,NaN,NaN,290855.0413624685,NaN,0,0,0
1699200000,28.46,28.87,28.42,28.57,27.51,NaN,NaN,NaN,291623.2505624685,NaN,0,0,0
1699214400,28.56,28.89,28.01,28.64,27.51,NaN,NaN,NaN,292112.1109624685,NaN,0,0,0
