time,open,high,low,close,,,,,Equity,Trade PnL %,PineConnector,Bullish Entry,Bearish Entry
1451606400,430.35,432.84,430,432.84,NaN,NaN,NaN,NaN,100000,NaN,777597072,0,0
1451620800,432.74,437.15,432.02,434.52,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1451635200,434.42,435,432,434.45,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1451649600,434.44,435,427.92,433.13,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1451664000,433.11,433.9,432.55,433.54,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1451678400,433.54,436,433.17,435.66,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1451692800,435.67,437.56,432.41,435.24,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1451707200,435.22,436.08,434.06,434.27,431.63750000000005,438.8225,NaN,NaN,99734.82649999998,NaN,200000431.6375,1,0
1451721600,434.27,435.7,434.01,434.31,431.63750000000005,438.8225,NaN,NaN,99745.9917,NaN,0,0,0
1451736000,434.29,434.31,432.64,434.27,431.63750000000005,438.8225,NaN,NaN,99734.82649999998,NaN,0,0,0
1451750400,434.24,436.6,434.24,434.8,431.63750000000005,438.8225,NaN,NaN,99882.76539999999,NaN,0,0,0
1451764800,434.82,436,434.23,435.4,431.63750000000005,438.8225,NaN,NaN,100050.24339999999,NaN,0,0,0
1451779200,435.4,435.75,432.07,434,431.63750000000005,438.8225,NaN,NaN,99659.46139999999,NaN,0,0,0
1451793600,434,434.98,432,432.88,431.63750000000005,438.8225,NaN,NaN,99346.83579999999,NaN,0,0,0
1451808000,432.96,433,431.9,432.05,431.63750000000005,438.8225,NaN,NaN,99115.15789999999,NaN,0,0,0
1451822400,432.01,432.32,427.53,429.8,NaN,NaN,NaN,NaN,98980,-1.02,0.5,0,0
1451836800,429.7,430.11,425.02,427.92,NaN,NaN,NaN,NaN,98980,NaN,0,0,0
1451851200,427.93,433.08,425.48,431.91,NaN,NaN,NaN,NaN,98980,NaN,0,0,0
1451865600,431.9,434,431.37,434,NaN,NaN,NaN,NaN,98980,NaN,0,0,0
1451880000,434,434.32,432.42,434.31,424.6255,443.3745,NaN,NaN,99012.7298,NaN,567000424.6255,1,0
1451894400,434.31,434.8,431.86,433.05,424.6255,443.3745,NaN,NaN,98879.69900000001,NaN,0,0,0
1451908800,433.06,434.97,431.76,434.35,424.6255,443.3745,NaN,NaN,99016.95300000001,NaN,0,0,0
1451923200,434.27,434.99,433.84,434.24,424.6255,443.3745,NaN,NaN,99005.3392,NaN,0,0,0
1451937600,434.24,435.79,432,433.85,424.6255,443.3745,NaN,NaN,98964.163,NaN,0,0,0
1451952000,433.84,435.64,433.18,434.89,424.6255,443.3745,NaN,NaN,99073.9662,NaN,0,0,0
1451966400,434.89,434.9,433.21,433.84,424.6255,443.3745,NaN,NaN,98963.1072,NaN,0,0,0
1451980800,433.81,434,431.65,431.94,424.6255,443.3745,NaN,NaN,98762.5052,NaN,0,0,0
1451995200,431.91,434,430,433.82,424.6255,443.3745,NaN,NaN,98960.9956,NaN,0,0,0
1452009600,433.89,434,432.52,433.1,424.6255,443.3745,NaN,NaN,98884.978,NaN,0,0,0
1452024000,433.14,433.5,432.43,433.34,424.6255,443.3745,NaN,NaN,98910.31719999999,NaN,0,0,0
1452038400,433.32,433.46,428.15,429.07,424.6255,443.3745,NaN,NaN,98459.4906,NaN,0,0,0
1452052800,429.06,432.33,428.96,431.66,424.6255,443.3745,NaN,NaN,98732.9428,NaN,0,0,0
1452067200,431.66,432.93,431.1,432.71,424.6255,443.3745,NaN,NaN,98843.8018,NaN,0,0,0
1452081600,432.63,433,431.73,433,424.6255,443.3745,NaN,NaN,98874.42,NaN,0,0,0
1452096000,433,433,430.92,431.23,424.6255,443.3745,NaN,NaN,98687.5434,NaN,0,0,0
1452110400,431.1,432.65,430.21,430.87,424.6255,443.3745,NaN,NaN,98649.5346,NaN,0,0,0
1452124800,430.66,444.98,430.64,441.18,434,NaN,NaN,NaN,99738.0644,NaN,0,0,0
1452139200,441.17,452.68,439.71,451.52,434,NaN,NaN,NaN,100829.7616,NaN,0,0,0
1452153600,451.51,452.27,447.26,451.87,434,NaN,NaN,NaN,100887.4434,NaN,414000434,1,0
1452168000,451.86,458.54,451.84,456.6,434,NaN,NaN,NaN,101659.19020000001,NaN,0,0,0
1452182400,456.59,457.89,455.05,457,434,NaN,NaN,NaN,101724.4542,NaN,0,0,0
1452196800,457,460.15,455.88,459.08,434,NaN,NaN,NaN,102063.827,NaN,0,0,0
1452211200,459.07,464.4,455.39,459.08,434,NaN,NaN,NaN,102063.827,NaN,0,0,0
1452225600,459.04,459.08,453.75,454.09,434,NaN,NaN,NaN,101249.6586,NaN,0,0,0
1452240000,454.06,458.6,452.51,456.67,434,NaN,NaN,NaN,101670.61140000001,NaN,0,0,0
1452254400,456.67,457.14,455,455.15,434,NaN,NaN,NaN,101422.60819999999,NaN,0,0,0
1452268800,455.18,456.48,447.53,452.39,434,NaN,NaN,NaN,100972.2866,NaN,0,0,0
1452283200,452.5,455.11,452.32,454.44,434,NaN,NaN,NaN,101306.76460000001,NaN,0,0,0
1452297600,454.41,456,453.03,453.54,434,NaN,NaN,NaN,101159.92060000001,NaN,0,0,0
1452312000,453.56,453.56,447.66,452.42,447.53,NaN,NaN,NaN,100977.1814,NaN,0,0,0
1452326400,452.4,453.12,450.12,451.62,447.53,NaN,NaN,NaN,100846.65340000001,NaN,0,0,0
1452340800,451.61,451.62,448.73,451.08,447.53,NaN,NaN,NaN,100758.547,NaN,0,0,0
1452355200,451.26,454,451.26,453.76,447.66,NaN,NaN,NaN,101195.8158,NaN,0,0,0
1452369600,453.77,454.03,450.27,450.38,447.66,NaN,NaN,NaN,100644.33499999999,NaN,0,0,0
1452384000,450.39,451.39,445.29,446.99,NaN,NaN,NaN,NaN,100165.05786928372,1.1972700235236635,0.5,0,0
1452398400,446.96,448.3,446.96,448.05,NaN,NaN,NaN,NaN,100165.05786928372,NaN,0,0,0
1452412800,448.03,448.04,443.01,443.49,NaN,NaN,NaN,NaN,100165.05786928372,NaN,0,0,0
1452427200,443.48,445.39,442.96,445.05,NaN,NaN,NaN,NaN,100165.05786928372,NaN,0,0,0
1452441600,445.05,449.29,444.81,447.1,NaN,NaN,NaN,NaN,100165.05786928372,NaN,0,0,0
1452456000,447.36,449.99,446.89,449.99,NaN,NaN,NaN,NaN,100165.05786928372,NaN,0,0,0
1452470400,449.99,452.65,449.95,451.85,442.495,461.2325,NaN,NaN,100413.62826928371,NaN,414000442.495,1,0
1452484800,451.9,452.1,446,446.91,442.495,461.2325,NaN,NaN,99753.44666928372,NaN,0,0,0
1452499200,446.91,448.11,445.88,447.14,442.495,461.2325,NaN,NaN,99784.18386928372,NaN,0,0,0
1452513600,447.22,448.23,446.49,447.69,442.495,461.2325,NaN,NaN,99857.68586928371,NaN,0,0,0
1452528000,447.69,449.5,447.64,448.56,442.495,461.2325,NaN,NaN,99973.95266928371,NaN,0,0,0
1452542400,448.59,449.5,448.2,449.19,442.495,461.2325,NaN,NaN,100058.14586928372,NaN,0,0,0
1452556800,449.26,449.44,445.99,447.8,442.495,461.2325,NaN,NaN,99872.38626928371,NaN,0,0,0
1452571200,447.79,448.98,446.96,447.65,442.495,461.2325,NaN,NaN,99852.34026928371,NaN,0,0,0
1452585600,447.61,447.7,445.7,446.79,442.495,461.2325,NaN,NaN,99737.40986928371,NaN,0,0,0
1452600000,446.79,448.04,445.22,446.46,442.495,461.2325,NaN,NaN,99693.30866928371,NaN,0,0,0
1452614400,446.48,448.4,446.41,447.36,442.495,461.2325,NaN,NaN,99813.58466928372,NaN,0,0,0
1452628800,447.45,448,431.83,434.01,NaN,NaN,NaN,NaN,99143.37427901702,-1.02,0.5,0,0
1452643200,434.01,437.5,425,434.04,NaN,NaN,NaN,NaN,99143.37427901702,NaN,0,0,0
1452657600,434.09,435.34,431.13,433.27,NaN,NaN,NaN,NaN,99143.37427901702,NaN,0,0,0
1452672000,433.29,433.87,429.03,429.38,NaN,NaN,NaN,NaN,99143.37427901702,NaN,0,0,0
1452686400,429.37,432.14,425.23,431.24,424.274,437.029,NaN,NaN,99507.18277901702,NaN,295000424.274,1,0
1452700800,431.15,431.39,428.07,429.69,424.274,437.029,NaN,NaN,99205.63027901702,NaN,0,0,0
1452715200,429.69,433.51,428.5,432.76,424.274,437.029,NaN,NaN,99802.89877901702,NaN,0,0,0
1452729600,432.7,435.27,431.56,433.18,424.274,437.029,NaN,NaN,99884.60977901702,NaN,0,0,0
1452744000,432.98,433.65,429.15,431.11,424.274,437.029,NaN,NaN,99481.89127901703,NaN,0,0,0
1452758400,431.09,431.74,428,430.84,424.274,437.029,NaN,NaN,99429.36277901701,NaN,0,0,0
1452772800,430.57,432.5,429.92,431.76,424.274,437.029,NaN,NaN,99608.34877901702,NaN,0,0,0
1452787200,431.75,433.5,431.32,433.25,424.274,437.029,NaN,NaN,99898.22827901701,NaN,0,0,0
1452801600,433.25,433.66,429.5,430.03,424.274,437.029,NaN,NaN,99271.77727901701,NaN,0,0,0
1452816000,430.04,430.29,411.09,414.72,NaN,NaN,NaN,NaN,98132.11186137104,-1.02,0.5,0,0
