time,open,high,low,close,,,,,Equity,Trade PnL %,PineConnector,Bullish Entry,Bearish Entry
1464033600,13.91,13.91,13.61,13.61,NaN,NaN,NaN,NaN,100000,NaN,777822864,0,0
1464048000,13.68,13.74,13.68,13.74,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1464062400,13.62,13.62,13.25,13.25,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1464091200,13.14,13.14,13.14,13.14,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1464105600,13.14,13.15,12,12.87,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1464120000,12.57,13.11,12.4,12.77,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1464134400,13,13.18,12.61,12.61,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1464148800,12.96,12.96,12.51,12.64,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1464163200,12.68,12.97,12.38,12.38,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1464177600,12.41,12.66,11.93,12.29,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1464192000,12.25,12.65,12.23,12.59,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1464206400,12.58,12.89,12.45,12.61,NaN,NaN,NaN,NaN,100000,NaN,0,0,0
1464220800,12.61,12.95,12.61,12.95,11.863999999999999,13.356,NaN,NaN,100455.7632,NaN,200000011.864,1,0
1464235200,12.95,12.95,12.5,12.59,11.863999999999999,13.356,NaN,NaN,99973.1904,NaN,0,0,0
1464249600,12.44,12.44,12.38,12.38,11.863999999999999,13.356,NaN,NaN,99691.6896,NaN,0,0,0
1464264000,12.36,12.36,12.18,12.34,11.863999999999999,13.356,NaN,NaN,99638.0704,NaN,0,0,0
1464278400,12.34,12.7,12.15,12.44,11.863999999999999,13.356,NaN,NaN,99772.1184,NaN,0,0,0
1464292800,12.42,12.78,12.42,12.47,11.863999999999999,13.356,NaN,NaN,99812.3328,NaN,0,0,0
1464307200,12.47,12.47,12.06,12.07,11.863999999999999,13.356,NaN,NaN,99276.1408,NaN,0,0,0
1464321600,12.07,12.07,11.25,11.5,NaN,NaN,NaN,NaN,98980,-1.02,0.5,0,0
1464336000,11.66,11.7,10.71,10.81,NaN,NaN,NaN,NaN,98980,NaN,0,0,0
1464350400,10.86,11.59,10.5,11,NaN,NaN,NaN,NaN,98980,NaN,0,0,0
1464364800,11,11.56,10.89,11.15,NaN,NaN,NaN,NaN,98980,NaN,0,0,0
1464379200,11.24,11.36,10.25,10.98,NaN,NaN,NaN,NaN,98980,NaN,0,0,0
1464393600,11.3,11.36,10.7,10.81,NaN,NaN,NaN,NaN,98980,NaN,0,0,0
1464408000,10.81,11.23,10.81,10.96,NaN,NaN,NaN,NaN,98980,NaN,0,0,0
1464422400,11.1,11.19,10.73,10.81,10.187,11.873000000000001,NaN,NaN,98665.6081,NaN,381000010.187,1,0
1464436800,11.16,12.44,11.16,12.26,11.1,NaN,NaN,NaN,100237.5676,NaN,0,0,0
1464451200,12.25,12.3,11.42,12.28,11.1,NaN,NaN,NaN,100259.2498,NaN,0,0,0
1464465600,12.18,12.18,11.4,12.02,11.1,NaN,NaN,NaN,99977.3812,NaN,0,0,0
1464480000,12.02,12.23,11.7,12.06,11.1,NaN,NaN,NaN,100020.7456,NaN,0,0,0
1464494400,11.82,12.19,11.81,12,11.1,NaN,NaN,NaN,99955.699,NaN,0,0,0
1464508800,12.1,12.19,12,12.19,11.1,NaN,NaN,NaN,100161.6799,NaN,0,0,0
1464523200,12.19,12.19,11.98,12.1,11.1,NaN,NaN,NaN,100064.11,NaN,0,0,0
1464537600,12.05,12.19,11.81,12.19,11.1,NaN,NaN,NaN,100161.6799,NaN,0,0,0
1464552000,12.2,12.49,12.18,12.34,11.1,NaN,NaN,NaN,100324.2964,NaN,0,0,0
1464566400,12.35,12.47,12,12.21,11.1,NaN,NaN,NaN,100183.3621,NaN,0,0,0
1464580800,12.31,12.61,12.27,12.59,11.81,NaN,NaN,NaN,100595.3239,NaN,0,0,0
1464595200,12.59,12.61,12.23,12.56,11.81,NaN,NaN,NaN,100562.8006,NaN,0,0,0
1464609600,12.25,12.61,12.22,12.49,11.81,NaN,NaN,NaN,100486.9129,NaN,0,0,0
1464624000,12.49,12.64,12.36,12.55,11.81,NaN,NaN,NaN,100551.9595,NaN,0,0,0
1464638400,12.5,12.88,12.41,12.88,11.81,NaN,NaN,NaN,100909.7158,NaN,0,0,0
1464652800,12.84,12.98,12.37,12.89,12.22,NaN,NaN,NaN,100969.5419,NaN,381000012.22,1,0
1464667200,12.59,12.8,12.57,12.7,12.22,NaN,NaN,NaN,100577.418,NaN,0,0,0
1464681600,12.7,12.98,12.7,12.98,12.22,NaN,NaN,NaN,101155.2848,NaN,0,0,0
1464696000,12.95,13.99,12.95,13.99,12.22,NaN,NaN,NaN,103239.7329,NaN,0,0,0
1464710400,13.95,14.04,13.52,13.99,12.22,NaN,NaN,NaN,103239.7329,NaN,0,0,0
1464724800,13.99,14.24,13.87,14.16,12.22,NaN,NaN,NaN,103590.5806,NaN,0,0,0
1464739200,14.15,14.43,13.87,14.35,12.22,NaN,NaN,NaN,103982.70449999999,NaN,0,0,0
1464753600,14.32,14.45,13.64,13.9,12.22,NaN,NaN,NaN,103053.99,NaN,0,0,0
1464768000,14.09,14.22,13.52,13.57,12.22,NaN,NaN,NaN,102372.93269999999,NaN,0,0,0
1464782400,13.5,14.24,13.5,14.08,12.22,NaN,NaN,NaN,103425.4758,NaN,0,0,0
1464796800,14.06,14.19,13.75,13.88,12.22,NaN,NaN,NaN,103012.71380000001,NaN,0,0,0
