time,open,high,low,close,,,,,Equity,Trade PnL %,PineConnector,Bullish Entry,Bearish Entry
1576166400,0.052556,0.052741,0.051262,0.052294,NaN,NaN,NaN,NaN,8692971.489093265,-1.0515215698234437,0.5,0,0
1576180800,0.052293,0.052491,0.051754,0.051991,NaN,NaN,NaN,NaN,8692971.489093265,NaN,0,0,0
1576195200,0.051991,0.052199,0.051807,0.051982,NaN,NaN,NaN,NaN,8692971.489093265,NaN,0,0,0
1576209600,0.051996,0.052372,0.05198,0.052363,0.051203200000000004,0.0527748,NaN,NaN,8734454.125841184,NaN,111000000.0512032,1,0
1576224000,0.052316,0.052459,0.051988,0.052394,0.051203200000000004,0.0527748,NaN,NaN,8737958.108781746,NaN,0,0,0
1576238400,0.052286,0.05288,0.052189,0.052815,0.051996,NaN,NaN,NaN,8785544.457748706,NaN,0,0,0
1576252800,0.05288,0.053068,0.052635,0.052866,0.051996,NaN,NaN,NaN,8791309.074844465,NaN,0,0,0
1576267200,0.052868,0.052876,0.052501,0.052771,0.051996,NaN,NaN,NaN,8780571.062607264,NaN,0,0,0
1576281600,0.05277,0.05277,0.052316,0.052589,0.051996,NaN,NaN,NaN,8759999.291794945,NaN,0,0,0
1576296000,0.052589,0.052833,0.052494,0.052586,0.051996,NaN,NaN,NaN,8759660.196671665,NaN,0,0,0
1576310400,0.052661,0.052756,0.052001,0.052079,0.051996,NaN,NaN,NaN,8702353.120837344,NaN,0,0,0
1576324800,0.052007,0.052104,0.050715,0.050715,NaN,NaN,NaN,NaN,8691232.894795446,-0.02,0.5,0,0
1576339200,0.050716,0.051395,0.050024,0.051086,NaN,NaN,NaN,NaN,8691232.894795446,NaN,0,0,0
1576353600,0.051068,0.051248,0.050718,0.05098,NaN,NaN,NaN,NaN,8691232.894795446,NaN,0,0,0
1576368000,0.050975,0.050996,0.050463,0.050652,NaN,NaN,NaN,NaN,8691232.894795446,NaN,0,0,0
1576382400,0.050649,0.051512,0.050302,0.051168,0.04994405,0.051356950000000005,NaN,NaN,8757173.294653086,NaN,111000000.04994404,1,0
1576396800,0.051168,0.051428,0.050853,0.050938,0.050649,NaN,NaN,NaN,8727951.152134286,NaN,0,0,0
1576411200,0.050938,0.0514,0.050504,0.051265,NaN,NaN,NaN,NaN,8689494.648216486,-0.02,0.5,0,0
1576425600,0.051257,0.051399,0.050849,0.051018,NaN,NaN,NaN,NaN,8689494.648216486,NaN,0,0,0
1576440000,0.051018,0.051236,0.050889,0.050969,NaN,NaN,NaN,NaN,8689494.648216486,NaN,0,0,0
1576454400,0.050909,0.051069,0.050228,0.05027,NaN,NaN,NaN,NaN,8689494.648216486,NaN,0,0,0
1576468800,0.050379,0.050583,0.050207,0.050351,NaN,NaN,NaN,NaN,8689494.648216486,NaN,0,0,0
1576483200,0.050312,0.050398,0.050013,0.050344,NaN,NaN,NaN,NaN,8689494.648216486,NaN,0,0,0
1576497600,0.050343,0.050481,0.05,0.050044,NaN,NaN,NaN,NaN,8689494.648216486,NaN,0,0,0
